mesh,elements,dofs,mode,classification,rank,buckling_factor,P_cr_FE_N,P_cr_theory_N,err_pct,P_cr_engesser_N,err_vs_engesser_pct
40x2x1,80,2319,1,bending z (weak),1,2.579864,5159.728,5140.418958900707,0.3756316606423456,5138.398324607993,0.4151035798423423
40x2x1,80,2319,2,bending y (strong),1,10.28214,20564.28,20561.67583560283,0.012665136917780909,20529.38376774135,0.1699818789177802
40x2x1,80,2319,3,bending z (weak),2,23.13758,46275.159999999996,46263.77063010636,0.02461833468935952,46100.61233624645,0.37862330868934935
40x2x1,80,2319,4,bending z (weak),3,63.82548,127650.95999999999,128510.47397251768,-0.6688279530441188,127259.38047984478,0.30770189095587186
80x4x2,640,12591,1,bending z (weak),1,2.575804,5151.608,5140.418958900707,0.2176678824965974,5138.398324607993,0.2570776836965941
80x4x2,640,12591,2,bending y (strong),1,10.27778,20555.56,20561.67583560283,-0.02974385770754396,20529.38376774135,0.12750617629245534
80x4x2,640,12591,3,bending z (weak),2,23.09195,46183.9,46263.77063010636,-0.17264185132022375,46100.61233624645,0.18066498367976613
80x4x2,640,12591,4,bending z (weak),3,63.64938,127298.76,128510.47397251768,-0.9428912173935414,127259.38047984478,0.03094429660644926
160x8x4,5120,80043,1,bending z (weak),1,2.575055,5150.11,5140.418958900707,0.18852628894211304,5138.398324607993,0.22792463044210975
160x8x4,5120,80043,2,bending y (strong),1,10.27571,20551.420000000002,20561.67583560283,-0.04987840332094649,20529.38376774135,0.10733995967905283
160x8x4,5120,80043,3,bending z (weak),2,23.08468,46169.36,46263.77063010636,-0.2040703315369636,46100.61233624645,0.1491252724630263
160x8x4,5120,80043,4,bending z (weak),3,63.62631,127252.62,128510.47397251768,-0.9787949056873583,127259.38047984478,-0.005312362687367614
