t,R,size,fillet_div,elements,nodes,mass_kg,sigma_fillet_MPa,sigma_fixed_edge_MPa,sigma_global_max_MPa,SF,deflection_mm,reaction_z_N,equilibrium_err,solve_s
5.0,2.0,6.0,6,15332,27175,0.34859297066150324,405.2676572930678,107.59499312847838,405.2676572930678,0.8759643006579305,1.939018924731182,600.0,0.0,2.1839280128479004
5.0,4.0,6.0,6,23570,38427,0.34960374531190136,341.28098827773425,85.66891026950093,341.28098827773425,1.040198581794721,1.8778209677419357,600.0,0.0,5.132679224014282
5.0,6.0,6.0,6,18984,31303,0.3512883697292313,312.4583728365036,66.52564867163642,312.4583728365036,1.1361513432247075,1.8096996774193552,600.0,0.0,4.075160980224609
5.0,8.0,6.0,6,15953,27116,0.3536468439134934,292.2358556961168,53.20555783778609,292.2358556961168,1.214772222780044,1.738467741935484,600.0,0.0,2.9328930377960205
5.0,10.0,6.0,6,13739,24075,0.35667916786468734,276.2189522658384,47.48158580671043,276.2189522658384,1.2852123183000896,1.6657099999999998,600.0,0.0,2.241691827774048
6.0,2.0,6.0,6,16162,28286,0.4182441798171108,297.94721153102813,69.22336451002218,297.94721153102813,1.1914862306507286,1.1429744086021505,600.0,0.0,2.617619037628174
6.0,4.0,6.0,6,23991,38855,0.4192549544675087,247.56616394554413,65.80055390063231,247.56616394554413,1.4339600951206222,1.1074756989247314,600.0,0.0,6.039362907409668
6.0,6.0,6.0,6,19275,31479,0.42093957888483874,221.90210269444924,49.50737220520289,221.90210269444924,1.5998045790887412,1.0692145161290323,600.0,0.0,4.436609983444214
6.0,8.0,6.0,6,16871,28105,0.4232980530691009,205.76510393691657,42.903345101751725,205.76510393691657,1.7252682462077527,1.0289397849462365,600.0,0.0,3.85237717628479
6.0,10.0,6.0,6,14769,25158,0.42633037702029497,193.43270627601967,38.54288508856092,193.43270627601967,1.8352635747825972,0.9877805483870966,600.0,0.0,2.823761224746704
7.0,2.0,6.0,6,16922,29412,0.4878953889727182,228.6856131248851,50.64378359532695,228.6856131248851,1.5523495122805766,0.7327885252525254,600.0,0.0,3.184335231781006
7.0,4.0,6.0,6,24677,39827,0.48890616362311623,187.5680057344119,49.37485625913383,187.5680057344119,1.89264687551599,0.7106691515151513,600.0,0.0,6.568025827407837
7.0,6.0,6.0,6,19936,32447,0.49059078804044626,167.69258828742315,38.75857982643016,167.69258828742315,2.116968934795938,0.6869658080808082,600.0,0.0,5.190658092498779
7.0,8.0,6.0,6,17685,29153,0.4929492622247083,154.41785077042508,34.018006787435496,154.41785077042508,2.2989570067762624,0.6621006363636364,600.0,0.0,4.274331092834473
