time_s,load_N,stress_MPa
0.000000,150.206703,45.062011
0.005000,169.279571,50.783871
0.010000,191.444392,57.433318
0.015000,208.518967,62.555690
0.020000,230.466329,69.139899
0.025000,265.717422,79.715227
0.030000,289.386325,86.815898
0.035000,306.381967,91.914590
0.040000,334.124958,100.237487
0.045000,349.726072,104.917822
0.050000,350.219996,105.065999
0.055000,354.085486,106.225646
0.060000,363.087499,108.926250
0.065000,365.854318,109.756296
0.070000,350.219437,105.065831
0.075000,340.589475,102.176843
0.080000,324.696468,97.408940
0.085000,303.631677,91.089503
0.090000,269.688055,80.906417
0.095000,262.481637,78.744491
0.100000,237.762543,71.328763
0.105000,235.046050,70.513815
0.110000,224.998366,67.499510
0.115000,215.455501,64.636650
0.120000,173.634164,52.090249
0.125000,155.498499,46.649550
0.130000,128.972194,38.691658
0.135000,105.049204,31.514761
0.140000,71.509828,21.452948
0.145000,66.186469,19.855941
0.150000,42.549082,12.764724
0.155000,18.198584,5.459575
0.160000,9.667567,2.900270
0.165000,1.763767,0.529130
0.170000,-5.699141,-1.709742
0.175000,1.029946,0.308984
0.180000,-2.346051,-0.703815
0.185000,-13.810044,-4.143013
0.190000,-5.404988,-1.621496
0.195000,-0.429335,-0.128801
0.200000,-10.005255,-3.001577
0.205000,5.568138,1.670441
0.210000,30.477724,9.143317
0.215000,33.021238,9.906371
0.220000,57.616518,17.284955
0.225000,88.757118,26.627135
0.230000,105.251113,31.575334
0.235000,134.133769,40.240131
0.240000,177.515455,53.254637
0.245000,186.732272,56.019682
0.250000,212.450325,63.735098
0.255000,248.267522,74.480257
0.260000,256.425605,76.927682
0.265000,280.673067,84.201920
0.270000,313.451283,94.035385
0.275000,340.384474,102.115342
0.280000,367.611253,110.283376
0.285000,381.883815,114.565145
0.290000,393.777500,118.133250
0.295000,403.666383,121.099915
0.300000,409.550197,122.865059
0.305000,395.742649,118.722795
0.310000,400.607677,120.182303
0.315000,398.353367,119.506010
0.320000,407.036446,122.110934
0.325000,409.862284,122.958685
0.330000,400.447952,120.134386
0.335000,387.541417,116.262425
0.340000,380.433000,114.129900
0.345000,341.013654,102.304096
0.350000,309.691046,92.907314
0.355000,299.185022,89.755506
0.360000,293.756208,88.126863
0.365000,271.086341,81.325902
0.370000,260.606954,78.182086
0.375000,237.160507,71.148152
0.380000,211.727117,63.518135
0.385000,190.037428,57.011228
0.390000,158.053517,47.416055
0.395000,136.351260,40.905378
0.400000,121.742344,36.522703
0.405000,104.246157,31.273847
0.410000,74.099834,22.229950
0.415000,54.654532,16.396360
0.420000,45.690437,13.707131
0.425000,30.866056,9.259817
0.430000,35.698315,10.709495
0.435000,40.128897,12.038669
0.440000,49.615988,14.884796
0.445000,58.962945,17.688884
0.450000,66.790698,20.037209
0.455000,75.868497,22.760549
0.460000,83.436273,25.030882
0.465000,103.787146,31.136144
0.470000,106.025717,31.807715
0.475000,131.581766,39.474530
0.480000,131.568401,39.470520
0.485000,138.749372,41.624812
0.490000,156.219570,46.865871
0.495000,184.696261,55.408878
0.500000,208.970961,62.691288
0.505000,266.161742,79.848523
0.510000,301.113685,90.334105
0.515000,323.087910,96.926373
0.520000,355.290616,106.587185
0.525000,379.753991,113.926197
0.530000,380.353526,114.106058
0.535000,403.160599,120.948180
0.540000,429.133273,128.739982
0.545000,444.338543,133.301563
0.550000,441.951213,132.585364
0.555000,449.546275,134.863882
0.560000,455.185799,136.555740
0.565000,441.682834,132.504850
0.570000,436.997681,131.099304
0.575000,432.691207,129.807362
0.580000,432.379797,129.713939
0.585000,422.054675,126.616403
0.590000,416.947587,125.084276
0.595000,393.443381,118.033014
