range_MPa,mean_MPa,count
64.694285,77.409153,0.500000
2.018726,-0.700379,1.000000
2.872776,-1.565189,1.000000
113.899309,52.806641,0.500000
0.676293,119.844156,1.000000
4.142264,120.793927,1.000000
0.004010,39.472525,1.000000
113.698868,66.109251,1.000000
0.716199,132.943463,1.000000
0.279824,49.207928,1.000000
1.167787,32.912860,1.000000
1.529115,25.064035,1.000000
1.197655,26.577367,1.000000
117.757684,77.676897,1.000000
3.097611,137.991304,1.000000
0.663356,130.420968,1.000000
0.154098,123.152026,1.000000
0.359176,29.352686,1.000000
1.912087,121.902929,1.000000
2.090170,128.588992,1.000000
3.863579,129.312453,1.000000
1.635701,32.459768,1.000000
0.180296,24.929944,1.000000
111.568552,76.883245,1.000000
3.642536,38.308929,1.000000
0.868050,129.102092,1.000000
1.238207,10.037741,1.000000
121.808058,69.458704,1.000000
115.015570,54.572458,1.000000
146.151356,68.932665,0.500000
1.137582,-9.259032,1.000000
2.422167,-2.645291,1.000000
1.788852,80.156616,1.000000
118.705796,42.354974,1.000000
1.435033,-21.212133,1.000000
1.824096,-24.073908,1.000000
0.166494,61.622377,1.000000
0.413679,82.498570,1.000000
3.462030,82.376703,1.000000
1.714656,79.201325,1.000000
123.387837,25.138925,1.000000
1.134221,-46.371027,1.000000
1.470990,-48.862615,1.000000
1.395271,59.207770,1.000000
0.566145,62.178951,1.000000
0.131515,-31.185960,1.000000
119.121118,8.749534,1.000000
4.330956,-44.910984,1.000000
132.362660,7.238071,1.000000
1.160415,74.424999,1.000000
1.833837,5.152983,1.000000
0.717574,-5.252179,1.000000
0.062052,52.746969,1.000000
117.769072,16.837378,1.000000
1.171210,80.792720,1.000000
5.223742,82.127391,1.000000
2.555817,-25.110474,1.000000
118.708318,31.195531,1.000000
0.225090,-5.096927,1.000000
1.559218,-8.731083,1.000000
125.704329,52.399963,1.000000
1.483094,116.302049,1.000000
1.673195,4.006927,1.000000
2.614328,4.459005,1.000000
120.637597,62.713269,1.000000
3.813468,133.361818,1.000000
3.831356,132.741652,1.000000
0.688851,71.524246,1.000000
1.448965,27.103114,1.000000
3.230852,134.495642,1.000000
132.206495,71.409336,1.000000
0.215859,81.300025,1.000000
133.578740,73.574844,1.000000
202.690703,40.662991,0.500000
1.666449,144.337681,1.000000
0.031690,22.047767,1.000000
0.714664,132.503713,1.000000
1.151154,134.770692,1.000000
0.540093,97.807071,1.000000
121.325009,75.186163,1.000000
1.825874,8.768477,1.000000
2.193398,11.300883,1.000000
2.958149,119.108749,1.000000
2.647998,115.485138,1.000000
115.266038,62.981722,1.000000
2.311215,0.721136,1.000000
2.543351,-5.839689,1.000000
0.610685,-2.304930,1.000000
0.300507,89.138763,1.000000
0.027378,93.950284,1.000000
1.214338,82.106534,1.000000
105.678757,45.544139,1.000000
2.024484,-7.549514,1.000000
3.700119,-20.286518,1.000000
0.583443,-10.888069,1.000000
0.981792,71.391359,1.000000
8.037762,74.429103,1.000000
109.679252,26.896222,1.000000
1.022357,-29.674057,1.000000
0.600390,-45.535612,1.000000
2.231163,66.730343,1.000000
0.069393,72.292750,1.000000
119.679421,13.122006,1.000000
2.495358,-52.265628,1.000000
0.251932,-0.931604,1.000000
125.604914,5.205059,1.000000
0.960192,69.245142,1.000000
0.447179,-2.808713,1.000000
0.408280,64.650006,1.000000
123.237331,15.793687,1.000000
3.525230,76.736120,1.000000
1.938484,80.269924,1.000000
1.469951,72.499494,1.000000
0.507359,-16.163812,1.000000
117.444576,24.366421,1.000000
1.964815,97.785005,1.000000
1.354519,78.829982,1.000000
1.870620,-12.045424,1.000000
0.651451,-7.241233,1.000000
0.112730,94.910762,1.000000
113.977167,42.000677,1.000000
2.300667,110.938148,1.000000
1.994016,106.366404,1.000000
5.351190,28.318199,1.000000
4.289240,16.295523,1.000000
1.329115,61.884539,1.000000
117.250252,54.024925,1.000000
0.265912,131.358968,1.000000
0.197630,5.123613,1.000000
0.131105,118.512109,1.000000
130.550642,69.265699,1.000000
6.804294,133.037235,1.000000
0.721083,31.789156,1.000000
9.135308,27.669163,1.000000
120.902325,83.371205,1.000000
204.573471,44.381782,1.000000
2.816383,147.960981,1.000000
1.489026,44.878810,1.000000
1.303654,32.031811,1.000000
0.572467,22.210634,1.000000
1.759688,24.513608,1.000000
2.559336,138.735223,1.000000
120.081504,80.373987,1.000000
3.413983,20.621872,1.000000
4.315194,19.549650,1.000000
3.472517,18.844530,1.000000
1.761997,21.396376,1.000000
2.371605,121.155574,1.000000
110.689871,71.080809,1.000000
1.882986,0.568552,1.000000
1.573586,75.138185,1.000000
1.800070,85.721055,1.000000
115.082807,47.896217,1.000000
0.429417,-21.216850,1.000000
2.036237,-28.503937,1.000000
1.932953,-23.638372,1.000000
130.819068,34.031872,1.000000
3.301838,-35.640954,1.000000
2.451983,80.888027,1.000000
1.530815,69.294121,1.000000
123.307375,23.021165,1.000000
1.758031,-52.622187,1.000000
2.596045,-52.948879,1.000000
2.520154,68.597686,1.000000
3.437110,73.125770,1.000000
132.082851,10.644119,1.000000
1.132281,-47.971616,1.000000
131.098329,12.061682,1.000000
0.826303,-38.092155,1.000000
0.831574,-33.380842,1.000000
0.472240,-20.985370,1.000000
133.233654,26.152895,1.000000
0.106094,93.165939,1.000000
3.503250,-8.331037,1.000000
2.801915,6.991459,1.000000
115.622079,38.736819,1.000000
0.720356,81.789060,1.000000
2.610253,-7.365827,1.000000
1.558939,4.795441,1.000000
2.159047,8.485827,1.000000
1.354154,108.532857,1.000000
120.909773,50.076003,1.000000
1.113792,25.377572,1.000000
1.306767,18.848010,1.000000
5.387138,16.908592,1.000000
113.103279,70.757220,1.000000
2.704721,136.163182,1.000000
1.601775,135.905960,1.000000
1.661270,26.569166,1.000000
2.985487,25.107855,1.000000
2.314832,31.198347,1.000000
3.013066,132.911918,1.000000
115.630434,80.890609,1.000000
1.035546,135.294269,1.000000
4.291326,128.036243,1.000000
1.145693,117.388763,1.000000
4.659267,134.846876,1.000000
128.858871,73.451770,1.000000
6.622624,12.279101,1.000000
1.097897,41.459008,1.000000
2.252955,117.822917,1.000000
125.458574,71.290529,1.000000
0.421954,7.432630,1.000000
2.204671,99.420724,1.000000
4.872861,99.530654,1.000000
1.010979,107.230000,1.000000
114.530342,52.824597,1.000000
4.289830,-8.248675,1.000000
1.037754,-4.280635,1.000000
4.030869,-2.422933,1.000000
11.957406,85.437804,1.000000
109.680685,44.126785,1.000000
0.169172,-31.724658,1.000000
1.033630,76.993046,1.000000
0.707676,-27.770398,1.000000
0.485157,-29.982416,1.000000
0.707047,-32.730814,1.000000
0.032781,-26.812123,1.000000
108.500164,21.158553,1.000000
117.096666,24.081988,1.000000
0.460552,-44.338114,1.000000
0.745203,-31.292710,1.000000
3.501117,57.672254,1.000000
4.068669,64.604368,1.000000
112.569867,10.932868,1.000000
1.858105,-45.171020,1.000000
0.041122,64.706684,1.000000
5.107613,-6.372927,1.000000
2.373734,-38.481847,1.000000
126.222859,21.309083,1.000000
1.093326,86.776034,1.000000
2.477193,-7.793614,1.000000
116.746883,31.445945,1.000000
1.058701,105.942386,1.000000
3.569050,68.409136,1.000000
2.476288,37.779204,1.000000
128.199238,47.066764,1.000000
3.199598,124.635670,1.000000
0.123881,105.280347,1.000000
0.213313,96.078065,1.000000
3.095071,6.663584,1.000000
0.613422,16.484731,1.000000
0.638635,21.443968,1.000000
123.971754,64.479550,1.000000
3.520857,129.357226,1.000000
0.791143,124.361246,1.000000
1.546025,24.006267,1.000000
4.510441,23.661629,1.000000
2.956118,25.007975,1.000000
0.149007,125.652777,1.000000
3.702065,125.753511,1.000000
111.010692,76.884265,1.000000
3.002949,123.083416,1.000000
0.989033,22.220739,1.000000
0.178136,25.041096,1.000000
3.798931,23.544427,1.000000
118.180999,77.920111,1.000000
192.235899,43.395210,1.000000
1.638547,144.185684,1.000000
1.167921,130.572458,1.000000
0.468721,122.673167,1.000000
3.874485,13.470510,1.000000
0.182470,127.934918,1.000000
120.943379,70.156021,1.000000
3.065937,8.845425,1.000000
118.368224,66.216593,1.000000
4.394203,-7.123161,1.000000
0.084171,30.358249,1.000000
0.482018,-17.798881,1.000000
127.551100,43.071332,1.000000
0.472671,-29.318243,1.000000
4.030052,68.978989,1.000000
0.263271,90.356068,1.000000
1.871855,-19.521731,1.000000
2.778024,-21.422914,1.000000
126.798988,32.088697,1.000000
4.558513,-13.630500,1.000000
1.979181,67.895671,1.000000
1.656980,60.966950,1.000000
122.300090,15.353731,1.000000
0.439694,-53.630557,1.000000
1.276542,73.084201,1.000000
2.037313,66.147452,1.000000
0.792195,64.073614,1.000000
1.328977,-38.212641,1.000000
3.013504,-38.787089,1.000000
1.463355,-43.032432,1.000000
119.037200,15.453488,1.000000
1.661404,80.182030,1.000000
0.984380,-4.942374,1.000000
1.917450,-38.750127,1.000000
1.942971,70.296952,1.000000
134.465803,16.173202,1.000000
0.241895,77.417059,1.000000
1.441663,-23.097901,1.000000
0.030373,79.400441,1.000000
124.245590,22.704177,1.000000
1.517455,95.629378,1.000000
1.014638,91.515640,1.000000
0.489436,-11.273976,1.000000
0.484827,-12.141916,1.000000
2.392191,-4.390930,1.000000
1.499859,78.254402,1.000000
117.394566,40.545228,1.000000
0.903383,14.261835,1.000000
1.695789,10.571480,1.000000
0.504753,6.599646,1.000000
0.116475,5.669848,1.000000
2.390219,11.942239,1.000000
0.337087,26.814151,1.000000
117.176685,62.570700,1.000000
4.334746,16.900787,1.000000
1.614848,22.224440,1.000000
121.313394,74.130309,1.000000
1.903287,142.898797,1.000000
0.137857,55.337546,1.000000
0.020965,118.687126,1.000000
1.894345,130.050836,1.000000
0.954936,27.645270,1.000000
125.594271,75.100020,1.000000
0.403144,126.184982,1.000000
0.963435,24.374422,1.000000
3.484277,14.366277,1.000000
0.482464,38.180081,1.000000
109.753002,63.679192,1.000000
134.690497,73.347020,1.000000
2.045574,-2.028016,1.000000
4.686386,10.242012,1.000000
5.331212,109.509010,1.000000
1.453629,4.246221,1.000000
119.550263,53.953267,1.000000
0.264118,-25.938592,1.000000
0.645561,89.278338,1.000000
132.408030,37.075680,1.000000
2.467585,-39.950469,1.000000
3.089752,-8.763007,1.000000
1.192989,79.709492,1.000000
126.117163,19.663097,1.000000
0.002085,-45.763967,1.000000
198.633546,45.426280,1.000000
0.866742,66.845522,1.000000
0.480476,-21.081658,1.000000
1.609207,-33.453959,1.000000
0.609418,-46.335439,1.000000
2.237761,39.658520,1.000000
120.773238,12.738166,1.000000
